Organization Name,Estimated Revenue Range,Industries,Headquarters Location,CB Rank (Company),Founded Date,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount (in USD),Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Region,Estimated Revenue Range Midpoint,Founded Year,City,Country,Number of Employees Midpoint,Industry_Cluster_0,Industry_Cluster_1,Industry_Cluster_2,Industry_Cluster_3,Industry_Cluster_4,Industry_Cluster_5,Industry_Cluster_6,Industry_Cluster_7,Industry_Cluster_8,Industry_Cluster_9,Industry_Cluster_10,Industry_Cluster_11,Industry_Cluster_12,Industry_Cluster_13,Industry_Cluster_14,Industry_Cluster_15,Industry_Cluster_16,Industry_Cluster_17,Industry_Cluster_18,Industry_Cluster_19,Industry_Cluster_20,Industry_Cluster_21,Industry_Cluster_22,industry_group,log_LFA,log_LEFA,Days_Since_Last_Funding,Revenue_Log_Midpoint,log_Total_Funding,log_Total_Equity_Funding,log_Employees,log_Days_Since_Last_Funding
Una Brands,$10M to $50M,"Analytics, Artificial Intelligence (AI), E-Commerce, Retail","Singapore, Central Region, Singapore",27364,2020-01-01,101-250,Series C,Private,Late Stage Venture,2023-02-28,30000000.0,115000000.0,Series C,8,30000000.0,115000000.0,"500 Global, White Star Capital, Northstar Group, Alpha JWC Ventures, Claret Capital Partners",12.0,ASIAN,30000000.0,2020.0,Singapore,Singapore,175.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Sales",17.216707972959764,17.216707972959764,871,17.216707972959764,18.560442695023177,18.560442695023177,5.173320876373351,6.77078942390898
CXA Group,$50M to $100M,"Artificial Intelligence (AI), Employee Benefits, Fitness, Health Care, Information Technology, Wellness","Singapore, Central Region, Singapore",34362,2013-01-01,101-250,Series C,Private,Late Stage Venture,2019-03-13,25000000.0,58000000.0,Series C,3,25000000.0,58000000.0,"HSBC, B Capital, EDBI, MDI Ventures, Openspace",15.0,ASIAN,75000000.0,2013.0,Singapore,Singapore,175.5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Health Insurance, Enterprise, Security",17.034386422832473,17.034386422832473,2319,18.132998684833918,17.87595358575207,17.87595358575207,5.173320876373351,7.749322464660356
Lummo,$1M to $10M,"Business Development, Data Management, Online Portals","Jakarta, Jakarta Raya, Indonesia",48714,2019-01-01,101-250,Series C,Private,Late Stage Venture,2022-01-19,80000000.0,149000000.0,Series C,6,80000000.0,149000000.0,"Speedinvest, Peak XV Partners, Hummingbird Ventures, Endeavor Catalyst, Saison Capital",26.0,ASIAN,7930633.896647726,2019.0,Jakarta,Indonesia,175.5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Developer Platform, Enterprise, Data Management",18.197537205138154,18.197537205138154,1276,15.886243653035159,18.819456870621142,18.819456870621142,5.173320876373351,7.152268856032539
Fabelio,$10M to $50M,"E-Commerce, Furniture, Home Decor, Manufacturing","Jakarta, Jakarta Raya, Indonesia",86415,2015-01-01,101-250,Series C,Private,Late Stage Venture,2020-06-17,9000000.0,19000000.0,Series C,6,9000000.0,19000000.0,"500 Global, Endeavor Catalyst, AppWorks, Bossa Invest, MDI Ventures",13.0,ASIAN,30000000.0,2015.0,Jakarta,Indonesia,175.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Industrial Engineering, Residential",16.012735246411598,16.012735246411598,1857,17.216707972959764,16.759949589762293,16.759949589762293,5.173320876373351,7.527255919373784
Andalin,$1M to $10M,"Freight Service, Logistics, Shipping, Shipping Broker","Jakarta, Jakarta Raya, Indonesia",155324,2016-01-01,101-250,Series C,Private,Late Stage Venture,2024-10-14,1500000.0,6000000.0,Series C,6,1500000.0,6000000.0,"BEENEXT, Intudo Ventures, BRI Ventures, ATM Capital, Access Ventures",7.0,ASIAN,5500000.0,2016.0,Jakarta,Indonesia,175.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Delivery Service,14.220976332738882,14.220976332738882,277,15.520258832020865,15.607270193858982,15.607270193858982,5.173320876373351,5.627621113690637
Laurel,$10M to $50M,"Artificial Intelligence (AI), Legal, Machine Learning, Professional Services, SaaS, Software","San Francisco, California, United States",83,2016-01-01,101-250,Series C,Private,Late Stage Venture,2025-06-10,80000000.0,155700000.0,Series C,8,80000000.0,135700000.0,"BoxGroup, IVP, AIX Ventures, Ulu Ventures, First Round Capital",24.0,US,30000000.0,2016.0,San Francisco,United States,175.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Machine Learning, Apps, Delivery Service, Family",18.197537205138154,18.197537205138154,38,17.216707972959764,18.863441643226835,18.725957132174294,5.173320876373351,3.6635616461296463
Hayden AI,$10M to $50M,"Analytics, Artificial Intelligence (AI), Big Data, Computer Vision, Geospatial, Machine Learning","San Francisco, California, United States",709,2019-01-01,101-250,Series C,Private,Late Stage Venture,2024-07-10,90000000.0,193407912.0,Series C,9,90000000.0,168800000.0,"Alumni Ventures, Global Brain Corporation, FJ Labs, Foothill Ventures, Autotech Ventures",23.0,US,30000000.0,2019.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Machine Learning, Internet, Data Management, Fashion",18.31532023940565,18.31532023940565,373,17.216707972959764,19.08031205534812,18.9442251460503,5.173320876373351,5.924255797414532
AKASA,$10M to $50M,"Artificial Intelligence (AI), Health Care, Machine Learning","San Francisco, California, United States",935,2018-01-01,101-250,Series C,Private,Late Stage Venture,2024-06-18,120000000.0,205000000.0,Series C,5,120000000.0,205000000.0,"Andreessen Horowitz, Bond, Costanoa Ventures, Refactor, Olive Capital",7.0,US,30000000.0,2018.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Health Insurance",18.603002309079653,18.603002309079653,395,17.216707972959764,19.138520541980732,19.138520541980732,5.173320876373351,5.981414211254481
Descript,$1M to $10M,"Artificial Intelligence (AI), Audio, Consumer Software, Music, Speech Recognition, Video Editing","San Francisco, California, United States",971,2017-01-01,101-250,Series C,Private,Late Stage Venture,2022-10-27,50000000.0,100000000.0,Series C,4,50000000.0,100000000.0,"OpenAI, Andreessen Horowitz, Spark Capital, HubSpot Ventures, Redpoint",25.0,US,5500000.0,2017.0,San Francisco,United States,175.5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sales, Digital Entertainment, Internet",17.72753358339242,17.72753358339242,995,15.520258832020865,18.420680753952364,18.420680753952364,5.173320876373351,6.903747257584598
Arine,$10M to $50M,"Artificial Intelligence (AI), Health Care, Medical, Pharmaceutical","San Francisco, California, United States",1058,2017-01-01,101-250,Series C,Private,Late Stage Venture,2025-05-16,30000000.0,70000000.0,Series C,6,30000000.0,70000000.0,"MaC Venture Capital, Town Hall Ventures, Katalyst Ventures, Kaiser Permanente Ventures, SCAN Group",11.0,US,30000000.0,2017.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Health Insurance, Medical",17.216707972959764,17.216707972959764,63,17.216707972959764,18.064005814299346,18.064005814299346,5.173320876373351,4.1588830833596715
Oshi Health,$1M to $10M,"Health Care, Medical, Mobile","New York, New York, United States",1061,2019-01-01,101-250,Series C,Private,Late Stage Venture,2024-10-16,60000000.0,119500000.0,Series C,5,60000000.0,119500000.0,"Bessemer Venture Partners, Oak HC/FT, Flare Capital Partners, Frist Cressey Ventures, Operator Partners",12.0,US,5500000.0,2019.0,New York,United States,175.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apps, Health Insurance, Medical",17.909855136853043,17.909855136853043,275,15.520258832020865,18.59882693770404,18.59882693770404,5.173320876373351,5.62040086571715
Blackpoint Cyber,$1M to $10M,"Computer, Cyber Security, Network Security, Software","Ellicott City, Maryland, United States",1125,2014-01-01,101-250,Series C,Private,Late Stage Venture,2023-06-08,190000000.0,201400000.0,Series C,4,190000000.0,201400000.0,"Accel, WP Global Partners, Bain Capital Tech Opportunities, Maryland Venture Fund, Telcom Ventures",9.0,US,5500000.0,2014.0,Ellicott City,United States,175.5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Digital Entertainment, Apps, Security",19.06253463538792,19.06253463538792,771,15.520258832020865,19.12080354321398,19.12080354321398,5.173320876373351,6.648984550024776
KoBold Metals,$100M to $500M,"Artificial Intelligence (AI), Mineral, Mining, Software","Berkeley, California, United States",1138,2018-01-01,101-250,Series C,Private,Late Stage Venture,2024-10-04,537000000.0,944500000.0,Series C,4,537000000.0,944500000.0,"Andreessen Horowitz, StepStone Group, Bond, Breakthrough Energy Ventures, BHP",21.0,US,300000000.0,2018.0,Berkeley,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Apps, Energy, Fashion",20.101508654335337,20.101508654335337,287,19.519293035953808,20.6661662459646,20.6661662459646,5.173320876373351,5.662960480135946
Second Front Systems,$10M to $50M,"Information Technology, SaaS, Software","Wilmington, Delaware, United States",1318,2014-01-01,101-250,Series C,Private,Late Stage Venture,2024-09-13,70000000.0,152100000.0,Series C,8,70000000.0,152100000.0,"Gaingels, 8VC, New Enterprise Associates, Kleiner Perkins, Battery Ventures",15.0,US,30000000.0,2014.0,Wilmington,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Apps, Enterprise, Family",18.064005814299346,18.064005814299346,308,17.216707972959764,18.840048763804145,18.840048763804145,5.173320876373351,5.733341276897746
Celestial AI,$10M to $50M,"Artificial Intelligence (AI), Data Center, Machine Learning, Semiconductor, Software","Santa Clara, California, United States",1325,2020-01-01,101-250,Series C,Private,Late Stage Venture,2025-03-11,250000000.0,588874997.0,Series C,6,250000000.0,588874997.0,"BlackRock, Temasek Holdings, US Innovative Technology Fund, Tiger Global Management, Engine Ventures",20.0,US,30000000.0,2020.0,Santa Clara,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Machine Learning, Apps, Data Management, Energy",19.33697147982652,19.33697147982652,129,17.216707972959764,20.193724491588174,20.193724491588174,5.173320876373351,4.867534450455582
Obsidian Security,$1M to $10M,"Computer, Cyber Security, Network Security, SaaS","Newport Beach, California, United States",1374,2017-01-01,101-250,Series C,Private,Late Stage Venture,2022-04-14,90000000.0,119500000.0,Series C,3,90000000.0,119500000.0,"Norwest Venture Partners, Menlo Ventures, IVP, Wing Venture Capital, Greylock",7.0,US,5500000.0,2017.0,Newport Beach,United States,175.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Digital Entertainment, Security, Family",18.31532023940565,18.31532023940565,1191,15.520258832020865,18.59882693770404,18.59882693770404,5.173320876373351,7.083387847625295
Overjet,$10M to $50M,"Artificial Intelligence (AI), Dental, Electronic Health Record (EHR), Health Diagnostics, Software","Boston, Massachusetts, United States",1471,2018-01-01,101-250,Series C,Private,Late Stage Venture,2024-03-05,53200000.0,130550000.0,Series C,5,53200000.0,130550000.0,"General Catalyst, Insight Partners, Liquid 2 Ventures, Crosslink Capital, E14 Fund",10.0,US,30000000.0,2018.0,Boston,United States,175.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apps, Medical",17.789568973108864,17.789568973108864,500,17.216707972959764,18.687266860769313,18.687266860769313,5.173320876373351,6.2166061010848646
Parse Biosciences,$10M to $50M,"Bioinformatics, Biotechnology, Genetics, Life Science","Seattle, Washington, United States",1565,2018-01-01,101-250,Series C,Private,Late Stage Venture,2023-12-14,50000000.0,99962500.0,Series C,6,50000000.0,99737500.0,"National Science Foundation, Soleus Capital, Horizon Technology Finance, Janus Henderson Investors, Marshall Wace",9.0,US,30000000.0,2018.0,Seattle,United States,175.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Machine Learning, Family, Medical",17.72753358339242,17.72753358339242,582,17.216707972959764,18.420305683626033,18.418052302624993,5.173320876373351,6.368187186350492
Teleport,$10M to $50M,"Cloud Data Services, Cloud Infrastructure, Cyber Security, Identity Management, Privacy","Oakland, California, United States",1586,2015-01-01,101-250,Series C,Private,Late Stage Venture,2022-05-03,110000000.0,169200000.0,Series C,5,110000000.0,169200000.0,"Y Combinator, Insight Partners, Bessemer Venture Partners, Kleiner Perkins, SV Angel",11.0,US,30000000.0,2015.0,Oakland,United States,175.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Enterprise, Security, Data Management",18.5159909328476,18.5159909328476,1172,17.216707972959764,18.94659201104656,18.94659201104656,5.173320876373351,7.067319848653476
Lithic,$10M to $50M,"Consumer, Financial Services, FinTech, Payments","New York, New York, United States",1676,2014-01-01,101-250,Series C,Private,Late Stage Venture,2021-07-29,60000000.0,115400000.0,Series C,4,60000000.0,115400000.0,"Bessemer Venture Partners, Quiet Capital, Index Ventures, Spark Capital, Rocketship.vc",14.0,US,30000000.0,2014.0,New York,United States,175.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering, Sales",17.909855136853043,17.909855136853043,1450,17.216707972959764,18.563914920703784,18.563914920703784,5.173320876373351,7.280008252884188
Eleos Health,$10M to $50M,"Artificial Intelligence (AI), Health Care, Information Technology, Mental Health","Boston, Massachusetts, United States",1714,2019-01-01,101-250,Series C,Private,Late Stage Venture,2025-01-22,60000000.0,128000000.0,Series C,6,60000000.0,128000000.0,"Menlo Ventures, Gaingels, Samsung NEXT, MassChallenge, Greenfield Partners",18.0,US,30000000.0,2019.0,Boston,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Health Insurance, Enterprise",17.909855136853043,17.909855136853043,177,17.216707972959764,18.667540829696392,18.667540829696392,5.173320876373351,5.181783550292085
Savage X Fenty,$50M to $100M,"E-Commerce, Fashion, Lingerie, Women's","El Segundo, California, United States",2137,2017-01-01,101-250,Series C,Private,Late Stage Venture,2022-01-26,125000000.0,310000000.0,Series C,5,125000000.0,310000000.0,"L Catterton, Advent International, Polaris Partners, ACME Capital, Neuberger Berman",16.0,US,75000000.0,2017.0,El Segundo,United States,175.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Fashion,18.643824303266577,18.643824303266577,1269,18.132998684833918,19.552082858669273,19.552082858669273,5.173320876373351,7.146772179452637
Peek,$1M to $10M,"Internet, Marketplace, Mobile, SaaS, Tourism, Travel","San Francisco, California, United States",2234,2012-01-01,101-250,Series C,Private,Late Stage Venture,2021-11-23,80000000.0,119900000.0,Series C,8,80000000.0,119900000.0,"Khosla Ventures, Cathay Innovation, Kleiner Perkins, SV Angel, Montage Ventures",34.0,US,5500000.0,2012.0,San Francisco,United States,175.5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Travel, Sales, Apps, Internet, Family",18.197537205138154,18.197537205138154,1333,15.520258832020865,18.602168628338028,18.602168628338028,5.173320876373351,7.195937226475569
Elucid,$1M to $10M,"Analytics, Biotechnology, Medical Device, Precision Medicine","Boston, Massachusetts, United States",2311,2013-01-01,101-250,Series C,Private,Late Stage Venture,2023-11-09,80000000.0,129728339.0,Series C,9,80000000.0,122000000.0,"National Science Foundation, Elevage Medical Technologies, Aphelion Capital, BlueStone Venture Partners, IAG Capital Partners",15.0,US,5500000.0,2013.0,Boston,United States,175.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Machine Learning, Medical",18.197537205138154,18.197537205138154,617,15.520258832020865,18.680953129658654,18.619531610894253,5.173320876373351,6.42648845745769
Level AI,$10M to $50M,"Analytics, Artificial Intelligence (AI), Information Technology","Mountain View, California, United States",2350,2019-01-01,101-250,Series C,Private,Late Stage Venture,2024-07-23,39400000.0,74400000.0,Series C,4,39400000.0,74400000.0,"Adams Street Partners, Village Global, Battery Ventures, Eniac Ventures, Cross Creek",6.0,US,30000000.0,2019.0,Mountain View,United States,175.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Enterprise",17.489276399648872,17.489276399648872,360,17.216707972959764,18.124966513244182,18.124966513244182,5.173320876373351,5.8888779583328805
Gradient AI,$10M to $50M,"Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning","Boston, Massachusetts, United States",2390,2012-01-01,101-250,Series C,Private,Late Stage Venture,2024-07-30,56100000.0,123184323.0,Series C,5,56100000.0,123184323.0,"MassMutual Ventures, Stone Point Capital, Centana Growth Partners, American Family Ventures, Forté Ventures",7.0,US,30000000.0,2012.0,Boston,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Machine Learning, Health Insurance, Education",17.842646388318236,17.842646388318236,353,17.216707972959764,18.629192360708224,18.629192360708224,5.173320876373351,5.869296913133774
Clarifai,Less than $1M,"Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Data Integration, Developer Platform, Machine Learning, Natural Language Processing","Fort Lee, New Jersey, United States",2395,2013-01-01,101-250,Series C,Private,Late Stage Venture,2021-10-15,60000000.0,100000000.0,Series C,3,60000000.0,100000000.0,"Menlo Ventures, New Enterprise Associates, Union Square Ventures, Lux Capital, Corazon Capital",18.0,US,500000.0,2013.0,Fort Lee,United States,175.5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Machine Learning, Internet, Developer Platform, Data Management",17.909855136853043,17.909855136853043,1372,13.122365377402328,18.420680753952364,18.420680753952364,5.173320876373351,7.224753405767971
Kentik,$1M to $10M,"Cloud Data Services, Information Technology, Network Security, Software","San Francisco, California, United States",2488,2014-01-01,101-250,Series C,Private,Late Stage Venture,2021-10-07,40000000.0,101700000.0,Series C,5,40000000.0,101700000.0,"Gaingels, First Round Capital, DCVC, Golub Capital, Engineering Capital",17.0,US,5500000.0,2014.0,San Francisco,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Apps, Enterprise, Security, Data Management",17.50439003707821,17.50439003707821,1380,15.520258832020865,18.43753787085163,18.43753787085163,5.173320876373351,7.2305631534092925
StrongDM,$1M to $10M,"Infrastructure, Security, Software","Burlingame, California, United States",2495,2015-01-01,101-250,Series C,Private,Late Stage Venture,2024-05-02,34000000.0,110050000.0,Series C,7,34000000.0,110050000.0,"Sequoia Capital, Cisco Investments, True Ventures, DCVC, Tiger Global Management",28.0,US,5500000.0,2015.0,Burlingame,United States,175.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Industrial Engineering, Apps, Security",17.341871111992198,17.341871111992198,442,15.520258832020865,18.516445375023523,18.516445375023523,5.173320876373351,6.093569770045136
CyberCube,$1M to $10M,"Analytics, InsurTech, Software","San Francisco, California, United States",2535,2015-01-01,101-250,Series C,Private,Late Stage Venture,2022-12-19,50000000.0,105000000.0,Series C,3,50000000.0,105000000.0,"Morgan Stanley, Forgepoint Capital, Stone Point Capital, MTech Capital, HSCM Bermuda",6.0,US,5500000.0,2015.0,San Francisco,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Machine Learning, Apps, Education",17.72753358339242,17.72753358339242,942,15.520258832020865,18.46947091764561,18.46947091764561,5.173320876373351,6.849066282633458
Cleerly,$1M to $10M,"Apps, Artificial Intelligence (AI), Health Care, Medical, Wellness","Denver, Colorado, United States",3013,2017-01-01,101-250,Series C,Private,Late Stage Venture,2024-12-03,106000000.0,386484975.0,Series C,4,106000000.0,386484975.0,"Insight Partners, Sands Capital Ventures, Battery Ventures, Novartis, Piper Heartland Healthcare Capital",20.0,US,5500000.0,2017.0,Denver,United States,175.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apps, Health Insurance, Medical",18.478949661510303,18.478949661510303,227,15.520258832020865,19.772603553308663,19.772603553308663,5.173320876373351,5.429345628954441
Safely You,$1M to $10M,"Artificial Intelligence (AI), Elder Care, Elderly, Health Care, InsurTech","San Francisco, California, United States",3464,2015-01-01,101-250,Series C,Private,Late Stage Venture,2025-01-28,43000000.0,114324998.0,Series C,9,43000000.0,102500000.0,"National Science Foundation, Founders Fund, Samsung NEXT, Eclipse Ventures, The House Fund",18.0,US,5500000.0,2015.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Health Insurance, Medical, Education",17.57671069691365,17.57671069691365,171,15.520258832020865,18.5545558187614,18.445373366298835,5.173320876373351,5.147494476813453
Quantum Machines,$10M to $50M,"Quantum Computing, Software, Software Engineering","Claymont, Delaware, United States",3584,2018-01-01,101-250,Series C,Private,Late Stage Venture,2025-02-25,170000000.0,363000000.0,Series C,7,170000000.0,363000000.0,"Alumni Ventures, Valor Equity Partners, PSG Equity, Battery Ventures, Samsung NEXT",18.0,US,30000000.0,2018.0,Claymont,United States,175.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Apps, Developer Platform, Energy",18.951309000896888,18.951309000896888,143,17.216707972959764,19.709913394983946,19.709913394983946,5.173320876373351,4.969813299576001
Apprentice.io,$1M to $10M,"Enterprise Software, Life Science, Manufacturing, Pharmaceutical","Jersey City, New Jersey, United States",3591,2014-01-01,101-250,Series C,Private,Late Stage Venture,2023-03-20,65000000.0,207000000.0,Series C,6,65000000.0,207000000.0,"Insight Partners, ICONIQ Growth, Silverton Partners, The Venture Reality Fund/VRF, GFR Fund",9.0,US,5500000.0,2014.0,Jersey City,United States,175.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Industrial Engineering, Enterprise, Medical",17.989897843244528,17.989897843244528,851,15.520258832020865,19.14822935606056,19.14822935606056,5.173320876373351,6.747586526829315
Anyscale,$10M to $50M,"Artificial Intelligence (AI), Developer Platform, Information Technology, Machine Learning, Open Source","San Francisco, California, United States",3603,2019-01-01,101-250,Series C,Private,Late Stage Venture,2022-08-23,99000000.0,259000000.0,Series C,4,99000000.0,259000000.0,"Andreessen Horowitz, New Enterprise Associates, Foundation Capital, The House Fund, Ant Group",11.0,US,30000000.0,2019.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Developer Platform, Enterprise",18.410630418199872,18.410630418199872,1060,17.216707972959764,19.372338623524815,19.372338623524815,5.173320876373351,6.966967138613983
DataDome,$10M to $50M,"Analytics, Cyber Security, Fraud Detection, Internet, Machine Learning, SaaS, Software","New York, New York, United States",3628,2015-01-01,101-250,Series C,Private,Late Stage Venture,2023-03-30,42000000.0,81246225.0,Series C,5,42000000.0,81246225.0,"Isai, InfraVia Capital Partners, Elephant, 50 Partners, Thibaud Elziere",18.0,US,30000000.0,2015.0,New York,United States,175.5,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Machine Learning, Apps, Internet, Security, Family",17.553180200057167,17.553180200057167,841,17.216707972959764,18.212994928864553,18.212994928864553,5.173320876373351,6.7357800142423265
Tive,$10M to $50M,"Enterprise Software, Internet of Things, Shipping, Software, Supply Chain Management","Boston, Massachusetts, United States",3629,2015-01-01,101-250,Series C,Private,Late Stage Venture,2025-01-09,40000000.0,121929989.0,Series C,10,40000000.0,121929989.0,"Plug and Play, Techstars, Sorenson Capital, AVP, Two Sigma Ventures",20.0,US,30000000.0,2015.0,Boston,United States,175.5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Apps, Internet, Delivery Service, Enterprise",17.50439003707821,17.50439003707821,190,17.216707972959764,18.618957585522175,18.618957585522175,5.173320876373351,5.25227342804663
Sardine,$10M to $50M,"Cryptocurrency, FinTech, Fraud Detection, Software","Miami, Florida, United States",3802,2020-01-01,101-250,Series C,Private,Late Stage Venture,2025-02-11,70000000.0,145600000.0,Series C,6,70000000.0,145600000.0,"Andreessen Horowitz, ConsenSys, Activant Capital, Geodesic Capital, Village Global",30.0,US,30000000.0,2020.0,Miami,United States,175.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"Industrial Engineering, Apps, Security, Energy",18.064005814299346,18.064005814299346,157,17.216707972959764,18.79637370059499,18.79637370059499,5.173320876373351,5.062595033026967
Mill,$10M to $50M,"Animal Feed, CleanTech, Food Processing, Recycling, Sustainability, Waste Management","San Bruno, California, United States",3835,2020-01-01,101-250,Series C,Private,Late Stage Venture,2023-09-06,70000000.0,70378750.0,Series C,3,70000000.0,70378750.0,"Fifth Wall, Lowercarbon Capital, Energy Impact Partners, Breakthrough Energy Ventures, Google Ventures",13.0,US,30000000.0,2020.0,San Bruno,United States,175.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"Industrial Engineering, Energy, Catering, It Management",18.064005814299346,18.064005814299346,681,17.216707972959764,18.069401943181344,18.069401943181344,5.173320876373351,6.525029657843462
Parachute Home,Less than $1M,"Home Decor, Interior Design, Retail","Culver City, California, United States",3866,2013-01-01,101-250,Series C,Private,Late Stage Venture,2018-06-27,30000000.0,44835181.0,Series C,6,30000000.0,44835181.0,"Susa Ventures, Flybridge, Upfront Ventures, Jaws Ventures, H.I.G. Growth Partners",14.0,US,500000.0,2013.0,Culver City,United States,175.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Industrial Engineering, Sales, Residential",17.216707972959764,17.216707972959764,2578,13.122365377402328,17.618503701688695,17.618503701688695,5.173320876373351,7.8551570058813445
Altana,$10M to $50M,"Data Integration, Logistics, Software, Supply Chain Management","New York, New York, United States",4077,2018-01-01,101-250,Series C,Private,Late Stage Venture,2024-07-29,200000000.0,322000000.0,Series C,4,200000000.0,322000000.0,"Ridgeline, OMERS Ventures, Salesforce Ventures, Activate Capital Partners, US Innovative Technology Fund",18.0,US,26675876.508564692,2018.0,New York,United States,175.5,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"Apps, Delivery Service, Enterprise, Data Management",19.11382792951231,19.11382792951231,354,17.099270250902105,19.590062106614273,19.590062106614273,5.173320876373351,5.872117789475416
Sense,$1M to $10M,"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition","Cambridge, Massachusetts, United States",4277,2013-01-01,101-250,Series C,Private,Late Stage Venture,2022-04-27,127600000.0,174599998.0,Series C,6,127600000.0,174599998.0,"SE Ventures, Energy Impact Partners, CRV, Blue Earth Capital, Bolt",20.0,US,5500000.0,2013.0,Cambridge,United States,175.5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Industrial Engineering, Sales, Apps, Internet",18.664410936711953,18.664410936711953,1178,15.520258832020865,18.9780081956424,18.9780081956424,5.173320876373351,7.072421900537371
