Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
Modern Meadow,https://www.crunchbase.com/organization/modern-meadow,$1M to $10M,"Beauty, Biotechnology, Software","Nutley, New Jersey, United States","Modern Meadow is a protein application technology platforms to the materials, beauty, and other industries for the wellness of the world.",6550,5-Aug-11,day,51-100,Series C,Private,Late Stage Venture,29-Apr-21,130000000,USD,130000000,183649994,USD,183649994,Series C,8,130000000,USD,130000000,183500000,USD,183500000,"National Science Foundation, Sequoia Capital, Temasek Holdings, Ulu Ventures, Starlight Ventures",30,4,http://www.modernmeadow.com,"Andras Forgacs, Francoise Marga, Gabor Forgacs, Karoly Jakab",4,US
Precision Neuroscience,https://www.crunchbase.com/organization/precision-neuroscience,,"Medical, Medical Device, Neuroscience, Product Research","New York, New York, United States",Precision Neuroscience is a neural platform that engages in brain-computer interface technology.,6838,1-May-21,month,51-100,Series C,Private,Late Stage Venture,16-Dec-24,102000000,USD,102000000,155000000,USD,155000000,Series C,3,102000000,USD,102000000,155000000,USD,155000000,"Alumni Ventures, B Capital, Draper Associates, Forepont Capital Partners, Mubadala Capital Ventures",9,5,https://precisionneuro.io,"Benjamin Rapoport, Demetrios Papageorgiou, Mark Hettick, Michael Mager",4,US
TextUs,https://www.crunchbase.com/organization/textus-biz,Less than $1M,"Sales, Sales Automation, SMS, Telecommunications, VoIP","Boulder, Colorado, United States","TextUs is the only business-class text messaging platform built specifically for inside sales, recruiting and customer service teams.",7268,1-Jun-12,month,51-100,Series C,Private,Late Stage Venture,30-Nov-21,22000000,USD,22000000,32250000,USD,32250000,Series C,6,22000000,USD,22000000,32000000,USD,32000000,"Lighter Capital, Eastside Partners, Blossom Street Ventures, Access Venture Partners",4,2,http://textus.com,"Andrew Kimmell, Mike Hickman, Ted Guggenheim",3,US
InterVenn,https://www.crunchbase.com/organization/venn-biosciences,$1M to $10M,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Medical","South San Francisco, California, United States",InterVenn unlocks the glycoproteome using artificial intelligence for the development of transformational healthcare solutions in DX and Rx.,7600,1-Mar-17,month,51-100,Series C,Private,Late Stage Venture,2-Aug-21,201000000,USD,201000000,244400000,USD,244400000,Series C,4,201000000,USD,201000000,244400000,USD,244400000,"True Ventures, Amplify Partners, Anzu Partners, Irving Investors, Genoa Ventures",13,3,https://intervenn.com,"Aldo Carrascoso, Carlito Lebrilla, Carolyn Bertozzi, Lieza Danan",4,US
R-Zero,https://www.crunchbase.com/organization/r-zero,$10M to $50M,"Energy Efficiency, Hardware, Heating, Ventilation, and Air Conditioning (HVAC), Internet of Things, Smart Building, Software, Sustainability","San Francisco, California, United States","Smart building solutions that automates building and workforce efficiencies, to maximize the ROI of your real estate portfolio.",7609,1-Apr-20,month,51-100,Series C,Private,Late Stage Venture,16-Feb-23,105000000,USD,105000000,170000000,USD,170000000,Series C,6,105000000,USD,105000000,170000000,USD,170000000,"La Caisse, SOSV, Bedrock, Mayo Clinic, Civilization Ventures",14,5,https://www.rzero.com,"Benjamin Boyer, Eli Harris, Grant Morgan",3,US
Be Biopharma,https://www.crunchbase.com/organization/be-biopharma,$1M to $10M,"Biopharma, Biotechnology, Pharmaceutical","Cambridge, Massachusetts, United States",Be Biopharma develops engineered B cell medicines for serious genetic diseases.,7616,1-Oct-20,month,51-100,Series C,Private,Late Stage Venture,15-Jan-25,92000000,USD,92000000,356000000,USD,356000000,Series C,4,92000000,USD,92000000,356000000,USD,356000000,"RA Capital Management, ARCH Venture Partners, Longwood Fund, Bristol-Myers Squibb, Nextech Invest",8,3,https://www.be.bio,"Aleks Radovic-Moreno, David Rawlings, David Steinberg, Lea Hachigian, Richard James",5,US
Mayvenn,https://www.crunchbase.com/organization/mayvenn,$100M to $500M,"Beauty, E-Commerce, Mobile, Retail","Oakland, California, United States",Mayvenn enables stylists to sell products directly to their clients without the upfront costs and burdens of holding inventory.,7673,1-Sep-12,day,51-100,Series C,Private,Late Stage Venture,30-Jun-22,40000000,USD,40000000,76000000,USD,76000000,Series C,7,40000000,USD,40000000,76000000,USD,76000000,"Andreessen Horowitz, 500 Global, Serena Ventures, Scout Ventures, MaC Venture Capital",24,4,https://shop.mayvenn.com,"Diishan Imira, Taylor Wang",2,US
Bambee,https://www.crunchbase.com/organization/bambee,Less than $1M,"Human Resources, Professional Services, SaaS, Software","Los Angeles, California, United States",Bambee is a platform offering an affordable solution to small and medium-sized businesses for hiring HR managers.,8240,1-Jun-16,month,51-100,Series C,Private,Late Stage Venture,16-Mar-22,30000000,USD,30000000,63000000,USD,63000000,Series C,6,30000000,USD,30000000,63000000,USD,63000000,"Gaingels, QED Investors, Greycroft, SoftBank, Mucker Capital",11,3,https://www.bambee.com,Allan Jones,1,US
Eclypsium,https://www.crunchbase.com/organization/eclypsium,$1M to $10M,"Cyber Security, Enterprise, Information Technology","Portland, Oregon, United States",Eclypsium offers a platform for supply chain security for IT infrastructure.,8287,8-Jun-17,day,51-100,Series C,Private,Late Stage Venture,28-Jan-25,45000000,USD,45000000,129049983,USD,129049983,Series C,8,45000000,USD,45000000,129049983,USD,129049983,"Andreessen Horowitz, Alumni Ventures, Temasek Holdings, Madrona, Ten Eleven Ventures",24,4,https://www.eclypsium.com,"Alex Bazhaniuk, Yuriy Bulygin",2,US
Shogun,https://www.crunchbase.com/organization/shogun,Less than $1M,"Digital Marketing, E-Commerce, SaaS, Web Design, Web Development","Walnut, California, United States",Shogun is an E-commerce platform that helps brands create unique buying experiences and optimize their online stores.,9498,27-Feb-15,day,51-100,Series C,Private,Late Stage Venture,30-Jun-21,67500000,USD,67500000,114600000,USD,114600000,Series C,6,67500000,USD,67500000,114600000,USD,114600000,"Y Combinator, Accel, Insight Partners, VMG Partners, Initialized Capital",15,4,https://getshogun.com,"Damien Kan, Finbarr Taylor, Nick Raushenbush",3,US
Third Wave Automation,https://www.crunchbase.com/organization/third-wave-automation,$10M to $50M,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Robotics","Union City, California, United States",Third Wave Automation provides cloud robotics and machine learning technology to material handling automation.,10057,1-Jan-18,day,51-100,Series C,Private,Late Stage Venture,30-Oct-24,27000000,USD,27000000,97000000,USD,97000000,Series C,5,27000000,USD,27000000,97000000,USD,97000000,"Norwest Venture Partners, Eclipse Ventures, Toyota Ventures, Homebrew, Zebra Technologies",9,6,https://www.thirdwave.ai,"Arshan Poursohi, James Davidson, Julian (Mac) Mason",3,US
Radar,https://www.crunchbase.com/organization/radar-3,$10M to $50M,"Analytics, Developer Tools, Information Technology, Internet, IT Infrastructure, Location Based Services, Mobile Apps, Software","Brooklyn, New York, United States",Radar is a location data infrastructure platform that helps growth and product teams to build location-aware app experiences.,10417,1-May-16,month,51-100,Series C,Private,Late Stage Venture,8-Feb-22,55000000,USD,55000000,85500000,USD,85500000,Series C,6,55000000,USD,55000000,85500000,USD,85500000,"Accel, Insight Partners, Two Sigma Ventures, Bedrock, Fuel Capital",17,3,https://radar.io,"Coby Berman, Nick Patrick",2,US
Fuzzy,https://www.crunchbase.com/organization/fuzzy,Less than $1M,"mHealth, Pet, Subscription Service, Veterinary","San Francisco, California, United States",Fuzzy is a subscription-based pet healthcare startup making pet care accessible and affordable.,10890,1-Jan-16,day,51-100,Series C,Private,Late Stage Venture,22-Nov-21,44000000,USD,44000000,80500000,USD,80500000,Series C,6,44000000,USD,44000000,80500000,USD,80500000,"Gaingels, Greycroft, SV Angel, FJ Labs, Matrix",15,6,http://www.yourfuzzy.com,"Eric Palm, Zubin Bhettay",2,US
Menlo Micro,https://www.crunchbase.com/organization/menlo-micro,$1M to $10M,"Consumer Electronics, Electronics, Hardware, Power Grid, Semiconductor","Irvine, California, United States","Menlo Micro is the developer of the Ideal Switch, an electromechanical switch technology used to switch AC/DC and RF.",10937,2-Dec-16,day,51-100,Series C,Private,Late Stage Venture,9-Mar-22,150000000,USD,150000000,227500000,USD,227500000,Series C,6,150000000,USD,150000000,227500000,USD,227500000,"Paladin Capital Group, Fidelity, Covenant Venture Capital, Corning, Adage Capital Management",16,4,https://menlomicro.com,"Chris Giovanniello, Chris Keimel",2,US
Encodia,https://www.crunchbase.com/organization/encodia,$1M to $10M,"Biotechnology, Chemical","San Diego, California, United States",Encodia is a biotech company that develops the next generation of protein analysis tools.,11239,1-Jan-15,day,51-100,Series C,Private,Late Stage Venture,27-Jan-21,75000000,USD,75000000,75000000,USD,75000000,Series C,1,75000000,USD,75000000,75000000,USD,75000000,"ARCH Venture Partners, Deerfield, Decheng Capital, Alexandria Venture Investments, Google Ventures",9,2,https://www.encodia.com/,"Julie Sunderland, Kevin Gunderson, Mark Chee, Michael Weiner",4,US
bolttech,https://www.crunchbase.com/organization/bolttech,$100M to $500M,"Financial Services, FinTech, Insurance, InsurTech","Singapore, Central Region, Singapore",Bolttech is an insurtech company that develops a technology-enabled platform for protection and insurance.,346,1-Apr-20,month,1001-5000,Series C,Private,Late Stage Venture,19-Dec-24,147000000,USD,147000000,690200000,USD,690200000,Series C,7,147000000,USD,147000000,640200000,USD,640200000,"Activant Capital, MetLife, LeapFrog Investments, Khazanah Nasional, EDBI",21,9,https://bolttech.io,Richard Li,1,ASIAN
Aspire,https://www.crunchbase.com/organization/aspire-singapore,$1M to $10M,"Banking, Financial Services, FinTech, Small and Medium Businesses","Singapore, Central Region, Singapore","Aspire is a financial platform providing earnings, payment, and expense management.",1483,1-Jan-18,day,501-1000,Series C,Private,Late Stage Venture,14-Feb-23,100000000,USD,100000000,299500000,USD,299500000,Series C,5,100000000,USD,100000000,199500000,USD,199500000,"Y Combinator, Lightspeed Venture Partners, B Capital, Peak XV Partners, DST Global",34,6,https://aspireapp.com,"Andrea Baronchelli, Giacomo Ficari, Giovanni Casinelli, Joel Leong, Stefan Hadjidetschev, Stefano Pellegrino, Thibaud Chommeloux",7,ASIAN
Matrixport,https://www.crunchbase.com/organization/matrixport,$100M to $500M,"Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore","Matrixport is a digital assets financial services platform where users can invest, trade, and leverage crypto assets.",2726,1-Feb-19,month,251-500,Series C,Private,Late Stage Venture,1-Jan-23,38000000,USD,38000000,138000000,USD,138000000,Series C,3,38000000,USD,38000000,138000000,USD,138000000,"Paradigm, Lightspeed Venture Partners, Qiming Venture Partners, DST Global, CMT Digital",18,3,https://www.matrixport.com,"Daniel Yan, Jihan Wu, Yuesheng Ge",3,ASIAN
Wego,https://www.crunchbase.com/organization/wego-com,$10M to $50M,"Consumer, E-Commerce, Hospitality, Search Engine, Travel, Travel Agency","Singapore, Central Region, Singapore","Wego is an online travel marketplace that enables travelers to find, compare, and book travel deals.",6691,1-Sep-05,day,251-500,Series C,Private,Late Stage Venture,15-Oct-17,12000000,USD,12000000,66000000,USD,66000000,Series C,4,12000000,USD,12000000,66000000,USD,66000000,"Tiger Global Management, Square Peg Capital, Middle East Venture Partners (MEVP), Crescent Point, Middle East Broadcasting Center",5,4,https://www.wego.com,"Craig Hewett, Ross Veitch",2,ASIAN
Atlan,https://www.crunchbase.com/organization/atlan-239d,$10M to $50M,"Big Data, Data Governance, Information Technology, Software","Singapore, Central Region, Singapore",Atlan is an active metadata platform crafted for data teams that integrates metadata from diverse sources.,11489,1-Jan-18,month,251-500,Series C,Private,Late Stage Venture,8-May-24,105000000,USD,105000000,201500000,USD,201500000,Series C,6,105000000,USD,105000000,201500000,USD,201500000,"Insight Partners, Peak XV Partners, Salesforce Ventures, GTMfund, Meritech Capital Partners",20,6,https://atlan.com,"Prukalpa Sankar, Varun Banka",2,ASIAN
Deliveree Logistics,https://www.crunchbase.com/organization/deliveree,$10M to $50M,"Delivery, Fleet Management, Logistics, Shipping","Jakarta, Jakarta Raya, Indonesia","Southeast Asia's leading road cargo logistics platform for booking FTL & LTL cargo transport. Operates in Indonesia, Philippines, Thailand.",17738,1-Feb-15,month,251-500,Series C,Private,Late Stage Venture,1-Mar-22,70000000,USD,70000000,108800000,USD,108800000,Series C,6,70000000,USD,70000000,108800000,USD,108800000,"Gobi Partners, Genesis Alternative Ventures, PSA Unboxed, SPIL Ventures, Ardent Capital",7,2,https://www.deliveree.com/,"Quan Nguyen, Tom Kim",2,ASIAN
Stockbit,https://www.crunchbase.com/organization/stockbit,$100M to $500M,"Finance, Financial Services, Internet","Jakarta, Jakarta Raya, Indonesia",Stockbit is an Indonesian investment community platform for investors and traders to share information and their ideas.,19893,3-Apr-12,day,501-1000,Series C,Private,Late Stage Venture,5-Jan-21,35000000,USD,35000000,49000000,USD,49000000,Series C,5,35000000,USD,35000000,49000000,USD,49000000,"500 Global, Peak XV Partners, Quona Capital, East Ventures, EV Growth",12,4,https://stockbit.com,"Johny Susanto, Sigit Kouwagam, Wellson Lo",3,ASIAN
"Love, Bonito",https://www.crunchbase.com/organization/love-bonito,$50M to $100M,"E-Commerce, Fashion, Lifestyle, Retail, Women's","Singapore, Central Region, Singapore",The largest D2C tech-enabled womenswear brand in Asia with the mission to be the most thoughtful brand for the Modern Asian Woman.,20166,1-Aug-10,month,501-1000,Series C,Private,Late Stage Venture,27-Oct-21,67000000,USD,67000000,80000000,USD,80000000,Series C,4,67000000,USD,67000000,80000000,USD,80000000,"Primavera Capital Group, Ondine Capital, Openspace, Kakaku.com, Adastria",5,3,https://www.lovebonito.com/,"Rachel Lim, Viola Tan",2,ASIAN
Docquity,https://www.crunchbase.com/organization/docquity,$50M to $100M,"Education, Health Care, Information Technology, Medical, mHealth","Singapore, Central Region, Singapore",Docquity develops a health technology platform that provides access to a network of medical experts and content from industry pioneers.,20183,1-Nov-15,month,251-500,Series C,Private,Late Stage Venture,5-Sep-22,44000000,USD,44000000,57700000,USD,57700000,Series C,4,44000000,USD,44000000,57700000,USD,57700000,"Global Brain Corporation, Genesia Ventures, Spiral Ventures, iGlobe Partners, AC Ventures",13,2,https://docquity.com/,"Abhishek Kumar, Abhishek Wadhwa, Amit Vithal, Indranil Roychowdhury",4,ASIAN
Cakap,https://www.crunchbase.com/organization/squline,$1M to $10M,"Apps, E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia",Cakap is an upskilling platform that enables 2-way learning interactions between students and professional teachers.,32674,1-Jul-13,day,251-500,Series C,Private,Late Stage Venture,12-Apr-23,7500000,USD,7500000,20500000,USD,20500000,Series C,7,7500000,USD,7500000,20500000,USD,20500000,"MDI Ventures, Heritas Capital, Mandiri Capital Indonesia (MCI), Centauri Fund, KB Investment",9,6,http://www.cakap.com,"Tomy Yunus Tjen, Yohan Limerta",2,ASIAN
Mineplex,https://www.crunchbase.com/organization/mineplex-b47e,,"Banking, Cryptocurrency, FinTech, Payments","Singapore, Central Region, Singapore","Mineplex is a mobile cryptobank that allows users to use cryptocurrency to pay bills, make transfers, and earn money by keeping tokens.",54229,15-Aug-20,day,11-50,Series C,Private,Late Stage Venture,11-Oct-22,100000000,USD,100000000,125500000,USD,125500000,Series C,4,100000000,USD,100000000,125500000,USD,125500000,,,,https://mineplex.io,Alexander Mamasidikov,1,ASIAN
Kopi Kenangan,https://www.crunchbase.com/organization/kopikenangan,$10M to $50M,"Coffee, Food and Beverage","Jakarta, Jakarta Raya, Indonesia","Kopi Kenangan is Indonesia’s fastest-growing coffee chain, leveraging on a tech-based 'grab & go' strategy.",58132,1-Jun-17,month,5001-10000,Series C,Private,Late Stage Venture,27-Dec-21,96000000,USD,96000000,333000000,USD,333000000,Series C,6,96000000,USD,96000000,333000000,USD,333000000,"Peak XV Partners, B Capital, Serena Ventures, Alpha Wave Global, Alpha JWC Ventures",17,3,https://kopikenangan.com/,"Edward Tirtanata, James Prananto",2,ASIAN
Primagpu,https://www.crunchbase.com/organization/primagpu-8add,,"Artificial Intelligence (AI), IT Infrastructure","Singapore, Central Region, Singapore",Primagpu is an Asian artificial intelligence company focusing on artificial intelligence server solutions,76538,11-Feb-16,day,501-1000,Series C,Private,Late Stage Venture,28-Mar-22,60000000,USD,60000000,96000000,USD,96000000,Series C,3,60000000,USD,60000000,96000000,USD,96000000,"Vision Plus Capital, Gaorong Capital",2,,https://www.primagpu.com,JIJIA YEO,1,ASIAN
Web and Rank,https://www.crunchbase.com/organization/web-and-rank,,"Search Engine, SEO","Singapore, Central Region, Singapore","Web and Rank is a search engine optimization (SEO) company offering exposure services for websites in Google, Yahoo, and MSN.",859156,10-Sep-07,day,11-50,Series C,Private,Late Stage Venture,10-Sep-07,300000,USD,300000,300000,USD,300000,Series C,1,300000,USD,300000,300000,USD,300000,,,,http://www.webandrank.com,Alex Filippi,1,ASIAN
Semperis,https://www.crunchbase.com/organization/semperis,$100M to $500M,"Cyber Security, Enterprise Software, Identity Management, Information Technology","Hoboken, New Jersey, United States",Semperis is a developer of enterprise identity protection and cyber resilience for cross-cloud and hybrid environments.,82,15-May-14,day,251-500,Series C,Private,Late Stage Venture,20-Jun-24,125000000,USD,125000000,498300000,USD,498300000,Series C,9,125000000,USD,125000000,373300000,USD,373300000,"Insight Partners, Paladin Capital Group, Ten Eleven Ventures, JP Morgan, Kohlberg Kravis Roberts",19,5,http://www.semperis.com,"Guy Teverovsky, Matan Liberman, Mickey Bresman",3,US
Waymo,https://www.crunchbase.com/organization/waymo,Less than $1M,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Sensor, Transportation","Mountain View, California, United States",Waymo is a mobility technology company that improves transportation by developing self-driving solutions for travelers and daily commuters.,261,17-Jan-09,day,1001-5000,Series C,Private,Late Stage Venture,23-Jul-24,5600000000,USD,5600000000,11100000000,USD,11100000000,Series C,4,5600000000,USD,5600000000,11100000000,USD,11100000000,"Andreessen Horowitz, Temasek Holdings, Silver Lake, Alphabet, Fidelity",13,7,https://waymo.com,"Anthony Levandowski, Sebastian Thrun",2,US
ClickHouse,https://www.crunchbase.com/organization/clickhouse,,"Analytics, Artificial Intelligence (AI), Big Data, Database, Software","Palo Alto, California, United States",ClickHouse provides an open-source database system for real-time analytical reporting.,297,11-Aug-21,day,251-500,Series C,Private,Late Stage Venture,29-May-25,350000000,USD,350000000,750000000,USD,750000000,Series C,5,350000000,USD,350000000,650000000,USD,650000000,"Khosla Ventures, Bessemer Venture Partners, Bond, Lightspeed Venture Partners, Nebius Group",20,8,https://clickhouse.com,"Aaron Katz, Alexey Milovidov, Yury Izrailevsky",3,US
Miro,https://www.crunchbase.com/organization/mirohq,$500M to $1B,"B2B, Enterprise Applications, Enterprise Software, Product Management, UX Design","San Francisco, California, United States","Miro is a visual collaboration platform that provides an intuitive, engaging, and in-person collaboration experience for every team.",424,1-Jun-11,day,1001-5000,Series C,Private,Late Stage Venture,5-Jan-22,400000000,USD,400000000,476300000,USD,476300000,Series C,5,400000000,USD,400000000,476300000,USD,476300000,"Accel, ICONIQ Growth, TCV, Salesforce Ventures, Atlassian",15,3,https://miro.com,"Andrey Khusid, Oleg Shardin",2,US
Contentstack,https://www.crunchbase.com/organization/contentstack,$1M to $10M,"CMS, Content, Content Delivery Network, Digital Marketing, Information Technology, SaaS","Austin, Texas, United States",Contentstack is a composable digital experience platform that offers digital experiences to enterprises.,443,1-Jan-18,day,501-1000,Series C,Private,Late Stage Venture,15-Nov-22,80000000,USD,80000000,169000000,USD,169000000,Series C,4,80000000,USD,80000000,169000000,USD,169000000,"Insight Partners, Illuminate Ventures, Georgian, GingerBread Capital",4,3,http://www.contentstack.com,"Matthew Baier, Neha Sampat, Nishant Patel",3,US
Beta Technologies,https://www.crunchbase.com/organization/beta-technologies-1ecd,$1M to $10M,"Aerospace, Air Transportation, Battery, Manufacturing","South Burlington, Vermont, United States","Beta Technologies manufactures electric vertical takeoff, landing eVTOL aircraft, and recharging pad systems.",544,1-Apr-17,day,501-1000,Series C,Private,Late Stage Venture,31-Oct-24,318000000,USD,318000000,1373000000,USD,1373000000,Series C,5,318000000,USD,318000000,1204000000,USD,1204000000,"RedBird Capital Partners, Fidelity, Qatar Investment Authority, United Therapeutics, Wealthing VC Club",8,4,https://www.beta.team,Kyle Clark,1,US
Birdeye,https://www.crunchbase.com/organization/birdeye,$100M to $500M,"Artificial Intelligence (AI), Consumer Reviews, Customer Service, Lead Generation, Marketing, SaaS","Palo Alto, California, United States",Birdeye is an all-in-one Experience Marketing platform for multi-location businesses.,1160,1-Mar-12,month,1001-5000,Series C,Private,Late Stage Venture,10-Mar-22,60000000,USD,60000000,93000000,USD,93000000,Series C,3,60000000,USD,60000000,93000000,USD,93000000,"Accel-KKR, Block, Trinity Ventures, World Innovation Lab, AME Cloud Ventures",9,2,https://birdeye.com,"Naveen Gupta, Neeraj Gupta",2,US
Deepwatch,https://www.crunchbase.com/organization/deepwatch,$50M to $100M,"Cloud Security, Cyber Security, Information Technology","Tampa, Florida, United States",Deepwatch secures the digital economy by protecting enterprise networks via its cloud security platform.,1431,2-Apr-19,day,251-500,Series C,Private,Late Stage Venture,15-Feb-23,180000000,USD,180000000,256000000,USD,256000000,Series C,3,180000000,USD,180000000,256000000,USD,256000000,"Goldman Sachs, Pario Ventures, Vista Credit Partners, ABS Capital Partners, Splunk Ventures",6,2,https://www.deepwatch.com,Justin Morehouse,1,US
Tractian,https://www.crunchbase.com/organization/tractian,$10M to $50M,"Artificial Intelligence (AI), B2B, Hardware, Internet of Things, Machine Learning, SaaS, Software","Atlanta, Georgia, United States",Tractian is a machine intelligence company that provides condition monitoring and asset performance management for industrial operations.,1497,15-Sep-19,day,251-500,Series C,Private,Late Stage Venture,5-Dec-24,120000000,USD,120000000,183700000,USD,183700000,Series C,5,120000000,USD,120000000,183700000,USD,183700000,"General Catalyst, Y Combinator, Sapphire Ventures, NGP Capital, Liquid 2 Ventures",26,5,https://tractian.com,"Gabriel Lameirinhas, Igor Marinelli, Leonardo Vieira",3,US
Saronic,https://www.crunchbase.com/organization/saronic,,"Artificial Intelligence (AI), Manufacturing, Marine Technology, Military, Security","Austin, Texas, United States",Saronic designs and manufactures unmanned surface vehicles for maritime security and domain awareness.,1794,1-Sep-22,month,251-500,Series C,Private,Late Stage Venture,18-Feb-25,600000000,USD,600000000,845000000,USD,845000000,Series C,4,600000000,USD,600000000,845000000,USD,845000000,"General Catalyst, Andreessen Horowitz, Lightspeed Venture Partners, 8VC, Geodesic Capital",16,3,https://www.saronic.com,"Dino Mavrookas, Doug Lambert, Rob Lehman, Vibhav Altekar",4,US
Catchpoint,https://www.crunchbase.com/organization/catchpoint-systems,$10M to $50M,"Analytics, Big Data, Enterprise Software, Information Technology, Internet, SaaS, Software","New York, New York, United States",Catchpoint is a digital experience observability company.,1807,15-Sep-08,day,251-500,Series C,Private,Late Stage Venture,3-Nov-16,22500000,USD,22500000,49765055,USD,49765055,Series C,7,22500000,USD,22500000,39765055,USD,39765055,"Sapphire Ventures, Battery Ventures, Silicon Valley Bank, Mehdi Daoudi",4,2,http://www.catchpoint.com,"Dritan Suljoti, Mehdi Daoudi, Scotte Barkan, Veronica Ellis",4,US
Drata,https://www.crunchbase.com/organization/drata,$100M to $500M,"Compliance, Information Technology, SaaS, Security, Software","San Diego, California, United States","Drata is a Trust Management Platform that automates compliance workflows, streamlines risk management, and continuous security assurance",1888,8-Jul-20,day,501-1000,Series C,Private,Late Stage Venture,7-Mar-25,126834036,USD,126834036,455074892,USD,455074892,Series C,5,126834036,USD,126834036,455074892,USD,455074892,"SV Angel, ICONIQ Growth, Salesforce Ventures, Ballistic Ventures, Basis Set Ventures",25,3,https://drata.com,"Adam Markowitz, Daniel Marashlian, Troy Markowitz",3,US
TradingView,https://www.crunchbase.com/organization/tradingview,$50M to $100M,"Analytics, Cloud Computing, Finance, FinTech, Stock Exchanges, Trading Platform","Westerville, Ohio, United States","TradingView provides traders and investors with charts, tools, and social networking.",2273,1-Sep-11,day,501-1000,Series C,Private,Late Stage Venture,1-Jan-24,50000000,USD,50000000,388752500,USD,388752500,Series C,10,50000000,USD,50000000,388652500,USD,388652500,"Insight Partners, Techstars, Right Side Capital Management, Tiger Global Management, Jump Capital",26,6,https://www.tradingview.com,"Andrew Kirillov, Denis Globa, Konstantin Ivanov, Stan Bokov",4,US
AlertMedia,https://www.crunchbase.com/organization/alert-media,$10M to $50M,"Enterprise Software, Mobile, SaaS","Austin, Texas, United States",AlertMedia's helps organizations mitigate risks and respond faster during emergencies and critical events.,2318,1-Apr-13,day,251-500,Series C,Private,Late Stage Venture,7-Apr-20,15000000,USD,15000000,57010012,USD,57010012,Series C,6,15000000,USD,15000000,57010012,USD,57010012,"JMI Equity, Silverton Partners, Next Coast Ventures, ATX Venture Partners, Brian Cruver",6,4,https://www.alertmedia.com,Brian Cruver,1,US
Sure,https://www.crunchbase.com/organization/sure-inc,$1M to $10M,"Financial Services, FinTech, Insurance, InsurTech","New York, New York, United States",Sure is an embedded insurance technology company that powers API-based digital insurance programs for global brands and insurance carriers.,2359,1-Oct-15,day,501-1000,Series C,Private,Late Stage Venture,5-Oct-21,100000000,USD,100000000,123100000,USD,123100000,Series C,5,100000000,USD,100000000,123100000,USD,123100000,"Menlo Ventures, Montage Ventures, WndrCo, Bossa Invest, AAF Management Ltd.",22,4,http://www.sureapp.com,"Jarod Kolman, Wayne Slavin",2,US
Fora,https://www.crunchbase.com/organization/fora-9ac3,$10M to $50M,"Tourism, Travel, Travel Agency","New York, New York, United States",Fora is a travel agency that offers advisor-curated travel guides for destinations near and far.,2369,10-Jun-21,day,11-50,Series C,Private,Late Stage Venture,1-Jan-25,40000000,USD,40000000,78500000,USD,78500000,Series C,4,40000000,USD,40000000,78500000,USD,78500000,"Insight Partners, Forerunner, Thrive Capital, K5 Global, Heartcore Capital",7,4,https://www.foratravel.com,"Evan Frank, Henley Vazquez, Jake Peters, Joe Essenfeld",4,US
Starship Technologies,https://www.crunchbase.com/organization/starship-technologies,,"Artificial Intelligence (AI), Delivery, Delivery Service, Robotics","San Francisco, California, United States",Starship Technologies is a robotics company building fleets of self-driving delivery robots designed to deliver goods.,2602,1-Jul-14,day,501-1000,Series C,Private,Late Stage Venture,5-Feb-24,90000000,USD,90000000,287715822,USD,287715822,Series C,7,90000000,USD,90000000,231200000,USD,231200000,"European Investment Bank, HOF Capital, TDK Ventures, Shasta Ventures, Specialist VC",24,7,https://www.starship.xyz,"Ahti Heinla, Janus Friis",2,US
AiDASH,https://www.crunchbase.com/organization/aidash,$10M to $50M,"Artificial Intelligence (AI), SaaS, Satellite Communication","Palo Alto, California, United States",Making critical infrastructure industries climate resilient and sustainable with satellite-first AI applications.,2763,29-Jan-19,day,251-500,Series C,Private,Late Stage Venture,23-Jan-24,58500000,USD,58500000,91500000,USD,91500000,Series C,4,58500000,USD,58500000,91500000,USD,91500000,"SE Ventures, Lightrock, G2 Venture Partners, Benhamou Global Ventures, National Grid Partners (NGP)",11,5,https://www.aidash.com,"Abhishek Vinod Singh, Nitin Das, Rahul Saxena",3,US
